"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Varicella","HepA","All","Ex_Rel","Ex_Med","Ex_Tot"
"The Foote School","Non-public","50 Loomis Place","New Haven","06511","South Central","100","100","100","100","100","100","100","0","0","0"
"Truman School","Public","114 Truman St.","New Haven","06519","South Central","100","100","100","100","100","100","100","0","0","0"
"Wexler/Grant - Lincoln/Bassett Community School","Public","130 Bassett St.","New Haven","06511","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"C.B. Jennings International Elementary Magnet","Public","50 Mercer Street","New London","06320","Southeastern CT","96","94","98","96","96","94","94","0","0","0"
"Nathan Hale Arts Magnet School","Public","37 Beech Drive","New London","06320","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"St. Joseph-New London","Non-public","25 Squire Street","New London","06320","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Winthrop STEM Elementary Magnet School","Public","74 Grove Street","New London","06320","Southeastern CT","94.1","94.1","94.1","94.1","94.1","94.1","94.1","1.5","1.5","2.9"
"Faith Preparatory School","Non-public","600 Danbury Rd.,Suite 2","New Milford","06776","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Hill And Plain School","Public","60 Old Town Park Rd.","New Milford","06776","Western CT","98.8","98.8","98.8","98.8","98.8","98.8","98.8","0","1.2","1.2"
"Northville Elementary School","Public","22 Hipp Rd.","New Milford","06776","Western CT","99","99","99","99","99","99","99","0","1","1"
"Anna Reynolds School","Public","85 Reservoir Road","Newington","06111","Capitol","98.7","98.7","98.7","98.7","98.7","98.7","98.7","0","1.3","1.3"
"Elizabeth Green School","Public","30 Thomas Street","Newington","06111","Capitol","100","100","100","100","100","100","100","0","0","0"
"Emmanuel Christian Academy","Non-public","569 Maple Hill Avenue","Newington","06111","Capitol","75","75","77.3","86.4","75","77.3","61.4","2.3","4.5","6.8"
"John Paterson School","Public","120 Church Street","Newington","06111","Capitol","98.4","98.4","100","98.4","98.4","95.1","95.1","0","0","0"
"Ruth Chaffee School","Public","160 Superior Avenue","Newington","06111","Capitol","98.3","98.3","98.3","98.3","98.3","98.3","98.3","0","1.7","1.7"
"Fraser Woods Montessori School","Non-public","173 South Main Street","Newtown","06470","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Hawley Elementary School","Public","29 Church Hill Rd.","Newtown","06470","Western CT","98.5","98.5","98.5","98.5","98.5","98.5","98.5","0","1.5","1.5"
"Head O'Meadow Elementary School","Public","94 Boggs Hill Rd.","Newtown","06470","Western CT","94.5","94.5","94.5","94.5","94.5","94.5","94.5","0","5.5","5.5"
"Housatonic Valley Waldorf School","Non-public","40 Dodgingtown Road","Newtown","06470","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Middle Gate Elementary School","Public","7 Cold Spring Rd.","Newtown","06470","Western CT","98.7","98.7","98.7","98.7","98.7","98.7","98.7","0","1.3","1.3"
"Sandy Hook Elementary School","Public","12 Dickinson Drive","Newtown","06482","Western CT","100","100","97.3","100","98.7","100","97.3","0","0","0"
"St. Rose of Lima","Non-public","40 Church Hill Road","Newtown","06470","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Botelle Elementary School","Public","128 Greenwoods Rd. East","Norfolk","06058","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Jerome Harrison School","Public","335 Foxon Rd.","North Branford","06471","South Central","99.1","98.1","96.3","100","97.2","97.2","92.5","0","0","0"
"North Canaan Elementary School","Public","90 Pease Street, P.O. Box 758","North Canaan","06018","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"ACES Mill Road School","Non-public","295 Mill Road","North Haven","06473","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Clintonville Elementary School","Public","456 Clintonville Rd.","North Haven","06473","South Central","100","100","100","100","100","100","100","0","0","0"
"Green Acres Elementary School","Public","146 Upper State St.","North Haven","06473","South Central","94.7","94.7","97.4","94.7","94.7","94.7","94.7","0","2.6","2.6"
"Montowese Elementary School","Public","145 Fitch St.","North Haven","06473","South Central","100","100","100","100","100","100","100","0","0","0"
"Ridge Road Elementary School","Public","1341 Ridge Rd.","North Haven","06473","South Central","100","98.6","98.6","100","95.7","95.7","95.7","0","0","0"
"Village School","Non-public","31 Temple St.","North Haven","06473","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Cornerstone Baptist Academy","Non-public","5 Rocky Hollow Road","North Stonington","06359","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"North Stonington Christian Academy","Non-public","12 Stillman Road","North Stonington","06359","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"North Stonington Elementary School","Public","311 Norwich/Westerly Rd.","North Stonington","06359","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"All Saints Catholic School","Non-public","139 West Rocks Road","Norwalk","06851","Western CT","88.9","88.9","91.1","95.6","91.1","95.6","88.9","0","4.4","4.4"
"Brookside Elementary School","Public","382 Highland Avenue","Norwalk","06854","Western CT","98.2","98.2","98.2","98.2","98.2","98.2","98.2","0","0","0"
"Concord Magnet School","Public","21 Hunters Lane","Norwalk","06850","Western CT","100","100","100","100","100","100","100","0","0","0"
"Cranbury Elementary School","Public","10 Knowalot Lane","Norwalk","06851","Western CT","100","100","100","100","100","100","100","0","0","0"
"Fox Run Elementary School","Public","228 Fillow Street","Norwalk","06850","Western CT","100","100","100","100","100","100","100","0","0","0"
"JEFFERSON MARINE SCIENCE ELEMETARY","Public","75 Van Buren Ave","Norwalk","06850","Western CT","100","100","100","100","100","100","100","0","0","0"
"Kendall College & Career Academy","Public","57 Fillow Street","Norwalk","06850","Western CT","100","97.4","100","100","100","100","97.4","0","0","0"
"Marvin Elementary School","Public","15 Calf Pasture Beach Road","Norwalk","06855","Western CT","100","100","100","98","96","96","94","0","0","0"
"Naramake Elementary School","Public","16 King Street","Norwalk","06851","Western CT","100","100","100","100","100","100","100","0","0","0"
"REGINA PACIS ACADEMY","Non-public","8 Leonard St","Norwalk","06850","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Rowayton School","Public","1 Roton Avenue","Norwalk","06853","Western CT","98.4","98.4","98.4","100","96.8","96.8","95.2","0","0","0"
"Side By Side Charter School","Public","10 Chestnut St.","Norwalk","06854","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Silvermine Dual Language Magnet School","Public","157 Perry Avenue","Norwalk","06850","Western CT","100","100","100","100","100","100","100","0","0","0"
"South Norwalk Elementary School","Public","46 Concord Street","Norwalk","06854","Western CT","100","100","98.4","100","98.4","98.4","96.8","0","0","0"
"Tracey Magnet School","Public","20 Camp Street","Norwalk","06851","Western CT","100","100","100","100","100","100","100","0","0","0"
"Wolfpit Integrated Arts Elementary School","Public","1 Starlight  Drive","Norwalk","06851","Western CT","100","98.6","100","98.6","100","100","98.6","0","0","0"
"Integrated Day Charter School","Public","68 Thermos Ave.","Norwich","06360","Southeastern CT","90.9","90.9","90.9","100","90.9","100","90.9","0","0","0"
"John B. Stanton School","Public","386 New London Tpke.","Norwich","06360","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Montessori Discovery School","Public","218 Dudley Street","Norwich","06360","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Moriarty Magnet School","Public","20 Lawlor Ln.","Norwich","06360","Southeastern CT","98.3","98.3","100","98.3","98.3","100","98.3","0","0","0"
"Natchaug Hospital Green Valley School","Non-public","40 Connecticut Ave.","Norwich","06360","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Sacred Heart School-Taftville","Non-public","15 Hunters Avenue","Norwich","06380","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Samuel Huntington School","Public","80 West Town St.","Norwich","06360","Southeastern CT","100","100","100","100","100","97.8","97.8","0","0","0"
"St. Patrick Cathedral School","Non-public","211 Broadway","Norwich","06360","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Thomas W. Mahan School","Public","94 Salem Tpke.","Norwich","06360","Southeastern CT","97.1","100","100","100","100","100","97.1","0","0","0"
"Uncas Elementary School","Public","280 Elizabeth St.","Norwich","06360","Southeastern CT","100","100","100","100","100","97.6","97.6","0","0","0"
"Veterans' Memorial School","Public","80 Crouch Ave.","Norwich","06360","Southeastern CT","100","97.5","97.5","97.5","97.5","100","95","0","0","0"
"Wequonnoc Magnet School","Public","155 Providence St.","Norwich","06380","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Wildwood Christian","Non-public","35 Wawecus Hill Road","Norwich","06360","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Mile Creek School","Public","205 Mile Creek Rd.","Old Lyme","06371","Lower CT River Valley","100","100","100","100","100","100","100","0","0","0"
"Kathleen E. Goodwin School","Public","80 Old Boston Post Rd.","Old Saybrook","06475","Lower CT River Valley","98.3","98.3","98.3","98.3","98.3","98.3","98.3","0","1.7","1.7"
"St. John Catholic School","Non-public","42 Maynard Road","Old Saybrook","06475","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Children's Tree Montessori School Inc.","Non-public","96 Essex Road","Old Saybrook","06475","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Mary L. Tracy School","Public","650 School House Lane","Orange","06477","South Central","97","97","96.3","97","96.3","96.3","96.3","0","2.4","2.4"
"Southern Connecticut Hebrew Academy","Public","261 Derby Avenue","Orange","06477","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Foundation School-Orange","Non-public","719 Derby Milford Road","Orange","06477","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Quaker Farms School","Public","30 Great Oak Rd.","Oxford","06478","Naugatuck Valley","94.1","95","96.6","95.8","95","96.6","92.4","0","0.8","0.8"
"Moosup Elementary School","Public","35 Church St.","Plainfield","06354","Northeast CT","97.9","97.9","97.9","100","97.9","100","97.9","0","0","0"
"Shepard Hill Elementary School","Public","234 Shepard Hill Rd.","Plainfield","06374","Northeast CT","96.4","96.4","96.4","96.4","96.4","96.4","96.4","0","1.8","1.8"
"Frank T. Wheeler School","Public","15 Cleverland Memorial Dr.","Plainville","06062","Capitol","100","100","100","100","97","97","93.9","0","0","0"
"Linden Street School","Public","69 Linden St.","Plainville","06062","Capitol","100","100","100","100","100","100","100","0","0","0"
"Louis Toffolon School","Public","145 NorthWest Dr.","Plainville","06062","Capitol","100","100","100","100","100","100","100","0","0","0"
"Plymouth Center School","Public","107 North Street","Plymouth","06782","Naugatuck Valley","98.8","98.8","98.8","98.8","98.8","98.8","98.8","0","1.2","1.2"
"Pomfret Community School","Public","20 Pomfret St.","Pomfret","06259","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Rectory School","Non-public","528 Pomfret Street","Pomfret","06258","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Valley View School","Public","81 High St.","Portland","06480","Lower CT River Valley","98.9","98.9","100","100","100","100","98.9","0","0","0"
"Preston Veterans' Memorial School","Public","325 Shetucket Tpke.","Preston","06365","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Prospect Elementary School","Public","75 New Haven Road","Prospect","06712","Naugatuck Valley","98.8","98.8","98.8","98.8","98.8","97.5","97.5","0","1.3","1.3"
"Putnam Elementary School","Public","33 Wicker St.","Putnam","06260","Northeast CT","96","94.7","97.3","98.7","96","98.7","93.3","0","0","0"
"Redding Elementary School","Public","33 Lonetown Rd.","Redding","06896","Western CT","98.8","98.8","98.8","98.8","98.8","97.6","97.6","0","1.2","1.2"
"Barlow Mountain Elementary School","Public","115 Barlow Mountain Rd.","Ridgefield","06877","Western CT","93.6","93.6","93.6","93.6","93.6","93.6","93.6","0","6.4","6.4"
"Branchville Elementary School","Public","40 Florida Rd.","Ridgefield","06877","Western CT","95.9","95.9","95.9","95.9","95.9","93.9","93.9","0","2","2"
"Farmingville Elementary School","Public","324 Farmingville Rd.","Ridgefield","06877","Western CT","100","100","98.1","98.1","98.1","96.2","94.3","0","0","0"
"Ridgebury Elementary School","Public","112 Bennett's Farm Rd.","Ridgefield","06877","Western CT","96.1","96.1","98","100","100","100","96.1","0","0","0"
"Ridgefield Academy","Non-public","223 West Mountain Road","Ridgefield","06877","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Scotland Elementary School","Public","111 Barlow Mountain Rd.","Ridgefield","06877","Western CT","100","100","100","97.5","97.5","100","97.5","0","0","0"
"St. Mary School - Ridgefield","Non-public","183 High Ridge Avenue","Ridgefield","06877","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Veterans Park Elementary School","Public","8 Governor St.","Ridgefield","06877","Western CT","100","100","100","100","100","100","100","0","0","0"
"Academy of Aerospace and Engineering Elementary","Non-public","7 Gardner Way","Rocky Hill","06067","Capitol","100","100","100","100","100","100","100","0","0","0"
"Hubbard Day School North","Non-public","525 Brook Street","Rocky Hill","06067","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Myrtle H. Stevens School","Public","322 Orchard St.","Rocky Hill","06067","Capitol","100","100","100","100","100","99","99","0","0","0"
"West Hill School","Public","95 Cronin Dr.","Rocky Hill","06067","Capitol","100","100","98.7","100","98.7","100","98.7","0","0","0"
"Booth Free School","Public","14 South St.","Roxbury","06783","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Salem Elementary School","Public","200 Hartford Rd.","Salem","06420","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Indian Mountain School","Non-public","211 Indian Mountain Road","Salisbury","06039","Northwest Hills","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Salisbury Central School","Public","45 Lincoln City Road, P.O. Box 1808","Salisbury","06039","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Scotland Elementary School","Public","68 Brook Rd.","Scotland","06264","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bungay School","Public","35 Bungay Rd.","Seymour","06483","Naugatuck Valley","98.2","98.2","98.2","98.2","96.4","98.2","96.4","0","1.8","1.8"
"Chatfield-LoPresti School","Public","51 Skokorat St.","Seymour","06483","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Sharon Center School","Public","80 Hilltop Road","Sharon","06069","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Booth Hill School","Public","544 Booth Hill Rd.","Shelton","06484","Naugatuck Valley","95","96.7","100","100","100","96.7","95","0","0","0"
"Elizabeth Shelton School","Public","138 Willoughby Rd.","Shelton","06484","Naugatuck Valley","98.9","98.9","98.9","98.9","98.9","98.9","98.9","0","1.1","1.1"
"Long Hill School","Public","565 Long Hill Ave.","Shelton","06484","Naugatuck Valley","95.2","93.7","95.2","98.4","96.8","96.8","92.1","0","0","0"
"Mohegan School","Public","47 Mohegan Rd.","Shelton","06484","Naugatuck Valley","97.1","97.1","97.1","98.6","97.1","98.6","97.1","0","1.4","1.4"
"Sunnyside School","Public","418 River Rd.","Shelton","06484","Naugatuck Valley","100","96.3","100","96.3","100","100","96.3","0","0","0"
"Sherman School","Public","2 Route 37 East","Sherman","06784","Western CT","100","100","100","100","100","100","100","0","0","0"
"Central School","Public","29 Massaco St.","Simsbury","06070","Capitol","100","100","100","100","100","100","100","0","0","0"
"Latimer Lane School","Public","33 Mountain View Rd.","Simsbury","06089","Capitol","100","100","100","100","100","97.6","97.6","0","0","0"
"Squadron Line School","Public","44 Squadron Line Rd.","Simsbury","06070","Capitol","98.3","98.3","96.7","98.3","96.7","98.3","96.7","0","1.7","1.7"
"St. Mary - Simsbury","Non-public","946 Hopmeadow Street","Simsbury","06070","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Tariffville School","Public","42 Winthrop St.","Simsbury","06081","Capitol","100","100","100","100","100","100","100","0","0","0"
"The Cobb School Montessori","Non-public","112 Sand Hill Road","Simsbury","06070","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Master's School","Non-public","36 Westledge Road","Simsbury","06092","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Tootin' Hills School","Public","25 Nimrod Rd.","Simsbury","06092","Capitol","100","100","100","100","97.1","100","97.1","0","0","0"
"Somers Elementary School","Public","4 Vision Boulevard","Somers","06071","Capitol","96.4","96.4","96.4","98.8","96.4","98.8","96.4","0","0","0"
"Academy of International Studies Elementary School","Non-public","625 Chapel Road","South Windsor","06074","Capitol","98.4","98.4","98.4","98.4","98.4","98.4","98.4","0","1.6","1.6"
"Eli Terry School","Public","569 Griffin Rd.","South Windsor","06074","Capitol","100","100","100","100","100","100","100","0","0","0"
"Orchard Hill School","Public","380 Foster St.","South Windsor","06074","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Philip R. Smith School","Public","949 Avery Street","South Windsor","06074","Capitol","98.6","98.6","98.6","98.6","98.6","97.2","97.2","0","1.4","1.4"
"Pleasant Valley School","Public","591 Ellington Rd.","South Windsor","06074","Capitol","100","100","100","100","100","100","100","0","0","0"
"Gainfield Elementary School","Public","307 Old Field Rd.","Southbury","06488","Naugatuck Valley","100","100","98","100","98","98","98","0","0","0"
"Pomperaug Elementary School","Public","607 Main St. S","Southbury","06488","Naugatuck Valley","98.2","98.2","100","98.2","100","100","98.2","0","0","0"
"Central Christian Academy","Non-public","1505 West Street","Southington","06489","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Flanders Elementary School","Public","100 Victoria Dr.","Southington","06489","Capitol","100","100","100","100","100","100","100","0","0","0"
"R. E. Thalberg Elementary School","Public","145 Dunham Rd.","Southington","06489","Capitol","98.3","98.3","98.3","98.3","98.3","96.6","96.6","0","1.7","1.7"
"South End Elementary School","Public","10 Maxwell-Noble Drive","Southington","06479","Capitol","100","100","100","100","100","100","100","0","0","0"
"St. Luke Catholic School","Non-public","133 Bristol Street","Southington","06489","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Urbin T. Kelley School","Public","501 Ridgewood Rd.","Southington","06489","Capitol","100","100","100","100","100","100","100","0","0","0"
"Walter A. Derynoski Elementary School","Public","240 Main St.","Southington","06489","Capitol","98.8","98.8","98.8","98.8","98.8","98.8","98.8","0","0","0"
"William H. Hatton Elementary School","Public","50 Spring Lake Rd.","Southington","06489","Capitol","100","100","100","100","100","100","100","0","0","0"
"William M. Strong Elementary School","Public","820 Marion Ave.","Southington","06479","Capitol","100","100","100","100","100","100","100","0","0","0"
"Zaya A. Oshana Elementary School","Public","70 Church Street","Southington","06479","Capitol","94.6","94.6","94.6","94.6","94.6","94.6","94.6","0","5.4","5.4"
"Sayles School","Public","25 Scotland Road","Sprague","06330","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Joseph School-Baltic","Non-public","10 School Hill Road","Sprague","06330","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"West Stafford School","Public","153 West Stafford Rd.","Stafford","06076","Capitol","96.8","95.7","97.9","95.7","96.8","95.7","95.7","0","1.1","1.1"
"Bi-Cultural Hebrew Academy of Connecticut","Non-public","2186 High Ridge Road","Stamford","06903","Western CT","100","100","100","100","100","100","100","0","0","0"
"Catholic Academy of Stamford","Non-public","1186 Newfield Avenue","Stamford","06905","Western CT","95.7","95.7","95.7","95.7","95.7","95.7","95.7","0","4.3","4.3"
"Davenport Ridge School","Public","1300 Newfield Ave.","Stamford","06905","Western CT","97.2","94.4","95.8","97.2","97.2","97.2","94.4","0","2.8","2.8"
"Hart School","Public","61 Adams Ave.","Stamford","06902","Western CT","96.2","96.2","96.2","96.2","96.2","96.2","96.2","0","2.6","2.6"
"Hubbard Day School","Non-public","68 Southfield Avenue","Stamford","06902","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Julia A. Stark School","Public","398 Glenbrook Rd.","Stamford","06906","Western CT","97.1","97.1","98.6","97.1","97.1","97.1","97.1","0","1.4","1.4"
"K. T. Murphy School","Public","19 Horton St.","Stamford","06902","Western CT","95.2","95.2","95.2","95.2","95.2","95.2","95.2","0","4.8","4.8"
"King School, Inc.","Non-public","1450 Newfield Avenue","Stamford","06905","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Mater Salvatoris College Preparatory School","Non-public","926 Newfield Avenue","Stamford","06905","Western CT","86.8","86.8","73.7","89.5","78.9","89.5","73.7","0","2.6","2.6"
"Mead School","Public","1095 Riverbank Road","Stamford","06903","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Newfield School","Public","345 Pepper Ridge Rd.","Stamford","06905","Western CT","96.4","96.4","96.4","96.4","96.4","96.4","96.4","0","3.6","3.6"
"Northeast School","Public","82 Scofieldtown Rd.","Stamford","06903","Western CT","100","100","100","100","100","98.7","98.7","0","0","0"
"Our Lady of Grace Preschool & Kindergarten","Non-public","635 Glenbrook Road","Stamford","06906","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Rogers International School","Public","202 Blachley Rd.","Stamford","06902","Western CT","98.6","98.6","98.6","98.6","98.6","98.6","98.6","0","1.4","1.4"
"Roxbury School","Public","751 Westhill Rd.","Stamford","06902","Western CT","97.8","97.8","98.9","98.9","98.9","98.9","97.8","0","1.1","1.1"
"Springdale School","Public","1127 Hope St.","Stamford","06907","Western CT","100","100","100","100","100","100","100","0","0","0"
"Stamford Charter School for Excellence","Public","1 Schuyler Ave.","Stamford","06902","Western CT","75.8","75.8","75.8","75.8","75.8","75.8","75.8","0","0","0"
"Stillmeadow School","Public","800 Stillwater Rd.","Stamford","06902","Western CT","98.6","98.6","98.6","98.6","98.6","97.2","97.2","0","0","0"
"Strawberry Hill an ext. of Rogers International","Public","200 Strawberry Hill Ave.","Stamford","06902","Western CT","98.8","98.8","98.8","98.8","98.8","98.8","98.8","0","1.2","1.2"
"The Children's School","Non-public","118 Scofieldtown Road","Stamford","06903","Western CT","97.3","97.3","97.3","97.3","97.3","97.3","97.3","0","2.7","2.7"
"The Long Ridge School","Non-public","478 Erskine Road","Stamford","06903","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Toquam Magnet School","Public","123 Ridgewood Ave.","Stamford","06907","Western CT","100","100","100","100","100","97.3","97.3","0","0","0"
"Waterside School","Non-public","770 Pacific Street","Stamford","06902","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Westover School","Non-public","1237 Whittemore Road","Stamford","06762","Western CT","100","100","100","100","100","100","100","0","0","0"
"Sterling Community School","Public","251 Sterling Rd.","Sterling","06377","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Deans Mill School","Public","35 Deans Mill Rd.","Stonington","06378","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Northeast Academy Magnet School","Public","115 Oslo Street","Stonington","06355","Southeastern CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Pine Point School","Non-public","89 Barnes Road","Stonington","06378","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Michael School","Non-public","131 West Broad Street","Stonington","06379","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"West Vine Street School","Public","17 West Vine St.","Stonington","06379","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Chapel School","Public","380 Chapel Street","Stratford","06614","Greater Bridgeport","100","100","100","100","97.9","93.8","93.8","0","0","0"
"Eli Whitney School","Public","1130 Huntington Road","Stratford","06615","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Franklin School","Public","1895 Barnum Avenue","Stratford","06615","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Johnson House Elementary School","Public","719 Birdseye Street","Stratford","06615","Greater Bridgeport","95.2","95.2","98.4","98.4","96.8","95.2","95.2","0","0","0"
"Lordship School","Public","254 Crown Street","Stratford","06615","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Nichols School","Public","396 Nichols Avenue","Stratford","06614","Greater Bridgeport","97.7","97.7","95.5","97.7","95.5","95.5","95.5","0","2.3","2.3"
"Second Hill Lane School","Public","65 Second Hill Lane","Stratford","06614","Greater Bridgeport","100","100","100","100","100","98.4","98.4","0","0","0"
"St. James School","Non-public","50 Harvey Place","Stratford","06615","Greater Bridgeport","92.9","92.9","92.9","92.9","92.9","92.9","83.3","0","0","0"
"St. Mark School","Non-public","500 Wigwam Lane","Stratford","06614","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Wilcoxson School","Public","600 Wilcoxson Avenue","Stratford","06614","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"A. Ward Spaulding School","Public","945 Mountain Rd.","Suffield","06078","Capitol","97.1","97.1","97.1","97.1","96.4","97.1","96.4","0","1.4","1.4"
"Black Rock School","Public","57 Branch Rd.","Thomaston","06787","Naugatuck Valley","100","100","100","100","98.1","100","98.1","0","0","0"
"Bradley School-Windham County","Non-public","785 Riverside Drive","Thompson","06255","Northeast CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Mary R. Fisher Elementary School","Public","785 Riverside Dr.","Thompson","06255","Northeast CT","98","98","98","98","98","98","98","0","2","2"
"Birch Grove Primary School","Public","247 Rhodes RD","Tolland","06084","Capitol","99.3","98.5","98.5","98.5","97.8","99.3","97.1","0","0","0"
"Southwest School","Public","340 Litchfield St.","Torrington","06790","Northwest Hills","100","100","100","100","100","100","100","0","0","0"
"St. John Paul the Great Academy","Non-public","360 Prospect Street","Torrington","06790","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Torringford School","Public","800 Charles St.","Torrington","06790","Northwest Hills","99.1","99.1","98.2","99.1","99.1","99.1","98.2","0","0.9","0.9"
"Torrington Christian Academy","Non-public","387 New Harwinton Road","Torrington","06790","Northwest Hills","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Vogel Wetmore Elementary","Non-public","68 Church Street","Torrington","06790","Northwest Hills","98.9","98.9","98.9","98.9","98.9","98.9","98.9","0","1.1","1.1"
"Booth Hill School","Public","545 Booth Hill Rd.","Trumbull","06611","Greater Bridgeport","98.5","98.5","98.5","98.5","98.5","97.1","97.1","0","1.5","1.5"
"Christian Heritage School","Non-public","575 White Plains Road","Trumbull","06611","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Cooperative Educational Services","Public","40 Lindeman Drive","Trumbull","06611","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Daniels Farm School","Public","710 Daniels Farm Rd.","Trumbull","06611","Greater Bridgeport","98.6","98.6","100","100","98.6","98.6","98.6","0","0","0"
"Frenchtown Elementary School","Public","30 Frenchtown Rd.","Trumbull","06611","Greater Bridgeport","96.1","96.1","96.1","97.4","96.1","96.1","94.8","0","1.3","1.3"
"Jane Ryan School","Public","190 Park Ln.","Trumbull","06611","Greater Bridgeport","98.5","98.5","98.5","98.5","98.5","93.9","93.9","0","1.5","1.5"
"Merit Academy","Non-public","25 Oakview Dr.","Trumbull","06611","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
