,Facility Number,School Type,School District or Name,Facility Address,Age Group,MMR Vaccination Rate,County
2074,300140300,,Nittany Christian School,1221 West Whitehall Road,Kindergarten,85.0,Centre
2075,210145003,,Our Lady of Victory School,800 Westerly Pkwy,Kindergarten,92.86,Centre
2076,210145003,,Our Lady of Victory School,800 Westerly Pkwy,7th Grade,96.0,Centre
2077,110148002,,Park Forest El Sch,2181 School Dr,Kindergarten,100.0,Centre
2078,110148002,,Park Forest MS,2180 School Dr,7th Grade,92.39,Centre
2079,110147003,,Penns Valley Area El and Intrmd Sch,4528 Penns Valley Road,Kindergarten,80.95,Centre
2080,110147003,,Penns Valley Area JSHS,4545 Penns Valley Road,7th Grade,99.03,Centre
2081,110147003,,Penns Valley Area JSHS,4545 Penns Valley Road,12th Grade,100.0,Centre
2082,110141103,,Pleasant Gap El Sch,230 S Main St,Kindergarten,97.44,Centre
2083,110148002,,Radio Park El Sch,800 W Cherry Ln,Kindergarten,93.33,Centre
2084,110148002,,Spring Creek El Sch,217 Scholl St,Kindergarten,96.36,Centre
2085,210140009,,St Josephs Catholic Academy,901 Boalsburg Pike,12th Grade,100.0,Centre
2086,110148002,,State College Area HS,650 Westerly Pkwy,12th Grade,91.07,Centre
2087,110141003,,Wingate El Sch,751 S Eagle Valley Rd,Kindergarten,96.0,Centre
2088,110140001,,Young Scholars of Central PA CS,1530 Westerly Parkway,Kindergarten,92.86,Centre
2089,110140001,,Young Scholars of Central PA CS,1530 Westerly Parkway,7th Grade,100.0,Centre
2090,110183602,,Bucktail Area MS,1300 Bucktail Avenue,7th Grade,100.0,Clinton
2091,110183602,,Bucktail HS,1300 Bucktail Ave,12th Grade,96.97,Clinton
2092,110183602,,Central Mountain HS,64 Keystone Central Dr,12th Grade,98.34,Clinton
2093,110183602,,Central Mountain MS,200 Ben Avenue,7th Grade,98.7,Clinton
2094,110183602,,Liberty-Curtin El Sch,PO Box 329,Kindergarten,100.0,Clinton
2095,210183503,,Lock Haven Catholic School,311 W Water St,Kindergarten,95.0,Clinton
2096,110183602,,Mill Hall El Sch,210 Kyler Ave,Kindergarten,94.23,Clinton
2097,110183602,,Renovo El Sch,1301 Bucktail Ave,Kindergarten,85.71,Clinton
2098,110183602,,Robb El Sch,400 East Church Street,Kindergarten,100.0,Clinton
2099,101833400,,Sugar Valley Rural CS,236 E Main Street,Kindergarten,97.37,Clinton
2100,101833400,,Sugar Valley Rural CS,236 E Main Street,7th Grade,100.0,Clinton
2101,101833400,,Sugar Valley Rural CS,236 E Main Street,12th Grade,100.0,Clinton
2102,110183602,,Woodward El Sch,35 King Street,Kindergarten,100.0,Clinton
2103,116191004,,Appleman El Sch,525 Park Street,Kindergarten,94.34,Columbia
2104,116191004,,Benton Area HS,400 Park St,12th Grade,98.11,Columbia
2105,116191004,,Benton Area MS,400 Park St,7th Grade,98.21,Columbia
2106,116191103,,Berwick Area HS,1100 Fowler Ave,12th Grade,99.49,Columbia
2107,116191103,,Berwick Area MS,1100 Evergreen Drive,7th Grade,99.51,Columbia
2108,116191203,,Bloomsburg Area HS,1200 Railroad St,12th Grade,98.06,Columbia
2109,116191203,,Bloomsburg Area MS,1100 Railroad St,7th Grade,100.0,Columbia
2110,116191503,,Central Columbia El Sch,4777 Old Berwick Rd,Kindergarten,98.36,Columbia
2111,116191503,,Central Columbia MS,4777 Old Berwick Rd,7th Grade,100.0,Columbia
2112,116191503,,Central Columbia SHS,4777 Old Berwick Rd,12th Grade,100.0,Columbia
2113,216190700,,Columbia County Christian School,123 Schoolhouse Rd,Kindergarten,75.0,Columbia
2114,116191757,,Columbia-Montour AVTS,5050 Sweppenheiser Drive,12th Grade,99.33,Columbia
2115,116191103,,East Berwick El Sch,810 East Tenth Street,Kindergarten,98.8,Columbia
2116,116197503,,Hartman El Ctr,802 Southern Drive,Kindergarten,94.19,Columbia
2117,116191203,,Memorial El Sch,500 Market St,Kindergarten,98.59,Columbia
2118,116195004,,Millville Area El Sch,PO Box 300,Kindergarten,97.62,Columbia
2119,116195004,,Millville Area JSHS,PO Box 260,7th Grade,100.0,Columbia
2120,116195004,,Millville Area JSHS,PO Box 260,12th Grade,100.0,Columbia
2121,116191103,,Nescopeck El Sch,315 Dewey St,Kindergarten,100.0,Columbia
2122,116197503,,Southern Columbia HS,812 Southern Drive,12th Grade,98.08,Columbia
2123,116197503,,Southern Columbia MS,810 Southern Drive,7th Grade,99.06,Columbia
2124,116191203,,W W Evans Memorial El Sch,59 Perry Ave,Kindergarten,95.45,Columbia
2125,116191103,,West Berwick El Sch,809 Sycamore St,Kindergarten,100.0,Columbia
2126,117414003,,Avis El Sch,1088 Third St,Kindergarten,97.56,Lycoming
2127,117415103,,C E McCall MS,600 Willow St,7th Grade,97.54,Lycoming
2128,117412003,,Carl G Renn El Sch,183 School Lane,Kindergarten,100.0,Lycoming
2129,117416103,,Central El Sch,555 W Mountain Ave,Kindergarten,95.45,Lycoming
2130,117417202,,Cochran Primary Sch,1500 Cherry St,Kindergarten,99.24,Lycoming
2131,117414203,,Donald E. Schick Sch,2800 Four Mile Dr,Kindergarten,97.14,Lycoming
2132,117412003,,George A Ferrell El Sch,34 Court Street,Kindergarten,96.0,Lycoming
2133,117417202,,Hepburn-Lycoming Primary Sch,355 Route 973 East,Kindergarten,97.17,Lycoming
2134,117412003,,Hughesville JSHS,349 Cemetery St,7th Grade,100.0,Lycoming
2135,117412003,,Hughesville JSHS,349 Cemetery St,12th Grade,97.66,Lycoming
2136,117417202,,Jackson Primary Sch,2500 Newberry St,Kindergarten,98.01,Lycoming
2137,117414003,,Jersey Shore Area El Sch,601 Locust St,Kindergarten,92.94,Lycoming
2138,117414003,,Jersey Shore Area SHS,701 Cemetery St,12th Grade,98.73,Lycoming
2139,117414003,,Jersey Shore MS,601 Thompson St,7th Grade,97.96,Lycoming
2140,117412003,,Joseph C Ashkar El Sch,350 South Broad Street,Kindergarten,96.39,Lycoming
2141,117414203,,Loyalsock Twp MS,2101 Loyalsock Dr,7th Grade,98.37,Lycoming
2142,117414203,,Loyalsock Twp SHS,1801 Loyalsock Dr,12th Grade,100.0,Lycoming
2143,117415103,,Loyalsock Valley El Sch,3790 Route 87 Highway,Kindergarten,91.89,Lycoming
2144,117415103,,Lyter El Sch,900 Spruce St,Kindergarten,95.65,Lycoming
2145,117415004,,Montgomery El Sch,120 Penn St,Kindergarten,98.31,Lycoming
2146,117415004,,Montgomery JSHS,120 Penn Street,7th Grade,98.08,Lycoming
2147,117415004,,Montgomery JSHS,120 Penn Street,12th Grade,98.57,Lycoming
2148,117415103,,Montoursville Area SHS,700 Mulberry St,12th Grade,97.06,Lycoming
2149,117415303,,Muncy JSHS,200 W Penn St,7th Grade,96.59,Lycoming
2150,117415303,,Muncy JSHS,200 W Penn St,12th Grade,95.0,Lycoming
2151,117414003,,Salladasburg El Sch,3490 Route 287 Highway,Kindergarten,100.0,Lycoming
2152,117416103,,South Williamsport Area JSHS,700 Percy St,7th Grade,100.0,Lycoming
2153,117416103,,South Williamsport Area JSHS,700 Percy St,12th Grade,97.78,Lycoming
2154,117415303,,Ward L Myers El Sch,125 New St,Kindergarten,97.14,Lycoming
2155,117417202,,Williamsport Area MS,2800 West Fourth Street,7th Grade,98.54,Lycoming
2156,117417202,,Williamsport Area SHS,2990 W 4th St,12th Grade,99.46,Lycoming
2157,116471803,,Danville Area MS,252 Northumberland St,7th Grade,99.42,Montour
2158,116471803,,Danville Area SHS,733 Ironmen Lane,12th Grade,100.0,Montour
2159,116471803,,Danville Primary Sch,931 Ironmen Lane,Kindergarten,98.66,Montour
2160,116495003,,James F Baugher El Sch,60 Brenda Rovenolt Circle,Kindergarten,91.51,Northumberland
2161,116493503,,Line Mountain El Sch,542 W Shamokin St,Kindergarten,95.71,Northumberland
2162,116493503,,Line Mountain HS,187 Line Mountain Road,12th Grade,97.98,Northumberland
2163,116493503,,Line Mountain MS,187 Line Mountain Rd,7th Grade,94.62,Northumberland
2164,216492913,,Meadowbrook Christian School,363 Stamm Road,Kindergarten,48.48,Northumberland
2165,216492913,,Meadowbrook Christian School,363 Stamm Road,7th Grade,61.54,Northumberland
2166,216492913,,Meadowbrook Christian School,363 Stamm Road,12th Grade,90.48,Northumberland
2167,216492923,,Meadowview Christian Academy,216 Tulip Road,Kindergarten,100.0,Northumberland
2168,216492923,,Meadowview Christian Academy,216 Tulip Road,7th Grade,100.0,Northumberland
2169,116495003,,Milton Area MS,700 Mahoning St,7th Grade,97.47,Northumberland
2170,116495003,,Milton HS,700 Mahoning St,12th Grade,98.82,Northumberland
2171,116495103,,Mount Carmel Area El Sch,630 W 5th St,Kindergarten,98.28,Northumberland
2172,116495103,,Mount Carmel Area HS,600 W 5th St,12th Grade,100.0,Northumberland
2173,116495103,,Mount Carmel Area JH,600 W 5th St,7th Grade,94.07,Northumberland
2174,216493003,,Northumberland Christian School,351 5th Street,7th Grade,95.83,Northumberland
2175,116496603,,Oaklyn Sch,115 Oak Street,Kindergarten,94.89,Northumberland
2176,116496603,,Priestley Sch,423 Cannery Rd,Kindergarten,97.3,Northumberland
2177,116496503,,Shamokin Area El Sch,3000 W State St,Kindergarten,97.84,Northumberland
2178,116496503,,Shamokin Area HS,2000 W State St,12th Grade,99.36,Northumberland
2179,116496503,,Shamokin Area MS,2000 W State St,7th Grade,96.0,Northumberland
2180,116496603,,Shikellamy HS,600 Walnut Street,12th Grade,97.93,Northumberland
2181,116496603,,Shikellamy MS,545 Permastone Dr,7th Grade,100.0,Northumberland
2182,116498003,,Turbotville El Sch,301 Pine St,Kindergarten,96.26,Northumberland
2183,116498003,,Warrior Run JSHS,4800 Susquehanna Trail,7th Grade,100.0,Northumberland
2184,116498003,,Warrior Run JSHS,4800 Susquehanna Trail,12th Grade,98.29,Northumberland
2185,116495003,,White Deer El Sch,631 New Columbia Rd,Kindergarten,94.74,Northumberland
2186,109531304,,Coudersport Area El Sch,802 Vine Street,Kindergarten,89.8,Potter
2187,109531304,,Coudersport Area JSHS,698 Dwight Street,7th Grade,98.51,Potter
2188,109531304,,Coudersport Area JSHS,698 Dwight Street,12th Grade,98.44,Potter
2189,109532804,,Galeton Area Sch,27 Bridge St,Kindergarten,90.91,Potter
2190,109532804,,Galeton Area Sch,27 Bridge St,7th Grade,100.0,Potter
2191,109532804,,Galeton Area Sch,27 Bridge St,12th Grade,100.0,Potter
2192,109535504,,Northern Potter Childrens Sch,745 Northern Potter Road,Kindergarten,92.11,Potter
2193,109535504,,Northern Potter JSHS,763 Northern Potter Road,7th Grade,95.56,Potter
2194,109535504,,Northern Potter JSHS,763 Northern Potter Road,12th Grade,94.12,Potter
2195,109537504,,Oswayo Valley El Sch,277 S. Oswayo Street,Kindergarten,93.33,Potter
2196,109537504,,Oswayo Valley JSHS,318 S Oswayo St,7th Grade,95.45,Potter
2197,109537504,,Oswayo Valley JSHS,318 S Oswayo St,12th Grade,96.15,Potter
2198,116555003,,Midd-West HS,540 E Main St,12th Grade,97.01,Snyder
2199,116555003,,Midd-West MS,10 Dock Hill Road,7th Grade,98.06,Snyder
2200,116555003,,Middleburg El Sch,600 Wagenseller St,Kindergarten,93.18,Snyder
2201,116557103,,Selinsgrove Area El Sch,600 Broad St,Kindergarten,97.47,Snyder
2202,116557103,,Selinsgrove Area HS,500 North Broad St,12th Grade,95.98,Snyder
2203,116557103,,Selinsgrove Area MS,359 Seals Avenue,7th Grade,98.74,Snyder
2204,116555003,,West Snyder El Sch,645 Snyder Avenue,Kindergarten,87.27,Snyder
2205,117576303,,Sullivan Co El Sch,PO Box 115,Kindergarten,100.0,Sullivan
2206,117576303,,Sullivan Co JSHS,PO Box 98,7th Grade,97.78,Sullivan
2207,117576303,,Sullivan Co JSHS,PO Box 98,12th Grade,100.0,Sullivan
2208,117597003,,Blossburg El Sch,133 Hannibal St,Kindergarten,96.55,Tioga
2209,117598503,,Charlotte Lappla El Sch,32 Meade St,Kindergarten,96.77,Tioga
2210,117596003,,Clark Wood El Sch,110A Ellison Road,Kindergarten,96.43,Tioga
2211,117596003,,Cowanesque Valley JSHS,51 North Fork Road,7th Grade,94.29,Tioga
2212,117596003,,Cowanesque Valley JSHS,51 North Fork Road,12th Grade,98.28,Tioga
2213,117597003,,Liberty El Sch,8622 Route 414,Kindergarten,95.65,Tioga
2214,117597003,,North Penn-Liberty JSHS,8675 Route 414,7th Grade,98.04,Tioga
2215,117597003,,North Penn-Liberty JSHS,8675 Route 414,12th Grade,100.0,Tioga
2216,117597003,,North Penn-Mansfield JSHS,73 W Wellsboro St,7th Grade,98.95,Tioga
2217,117597003,,North Penn-Mansfield JSHS,73 W Wellsboro St,12th Grade,98.85,Tioga
2218,117598503,,Rock L Butler MS,9 Nichols St,7th Grade,97.67,Tioga
2219,117596003,,Russell B Walter El Sch,65 Jct Cross Road,Kindergarten,84.48,Tioga
2220,117597003,,Warren L Miller El Sch,Dorsett Drive,Kindergarten,97.01,Tioga
2221,117598503,,Wellsboro Area HS,225 Nichols St,12th Grade,94.95,Tioga
2222,117596003,,Westfield Area El Sch,1355 Route 49,Kindergarten,95.35,Tioga
2223,117596003,,Williamson SHS,33 Jct Cross Road,7th Grade,64.81,Tioga
2224,117596003,,Williamson SHS,33 Jct Cross Road,12th Grade,53.85,Tioga
2225,116604003,,Donald H Eichhorn MS,2057 Washington Ave,7th Grade,98.0,Union
2226,116604003,,Kelly El Sch,325 Hospital Dr,Kindergarten,96.72,Union
2227,116604003,,Lewisburg HS,545 Newman Rd,12th Grade,98.47,Union
2228,116605003,,Mifflinburg Area MS,100 Mabel St,7th Grade,98.74,Union
2229,116605003,,Mifflinburg Area SHS,75 Market St,12th Grade,99.22,Union
2230,116605003,,Mifflinburg El Sch,115 Shipton St,Kindergarten,96.46,Union
2231,112015203,,Alloway Creek El Sch,162 Newark St,Kindergarten,92.08,Adams
2232,112011103,,Bermudian Springs El Sch,7335 Carlisle Pike,Kindergarten,97.32,Adams
2233,112011103,,Bermudian Springs HS,7335 Carlisle Pike,12th Grade,99.35,Adams
2234,112011103,,Bermudian Springs MS,7335 Carlisle Pike,7th Grade,98.75,Adams
2235,112018523,,Biglerville El Sch,3270 Biglerville Road,Kindergarten,97.62,Adams
2236,112018523,,Biglerville HS,135 North Main Street,12th Grade,99.14,Adams
2237,112011603,,Conewago Twp El Sch,1189 W Elm Ave,Kindergarten,96.95,Adams
2238,212012003,,Delone Catholic High School,140 S Oxford Ave,12th Grade,100.0,Adams
2239,112013054,,Fairfield Area El Sch,4842 Fairfield Rd,Kindergarten,100.0,Adams
2240,112013054,,Fairfield Area HS,4840 Fairfield Rd,12th Grade,100.0,Adams
2241,112013054,,Fairfield Area MS,4840 Fairfield Rd,7th Grade,97.01,Adams
2242,112013753,,Franklin Twp El Sch,870 Old Route 30,Kindergarten,100.0,Adams
2243,112013753,,Gettysburg Area HS,1130 Old Harrisburg Rd,12th Grade,100.0,Adams
2244,112013753,,Gettysburg Area MS,37 Lefever St,7th Grade,97.74,Adams
2245,197010542,,Gettysburg Montessori CS,888 Coleman Road,Kindergarten,84.62,Adams
2246,112013753,,James Gettys El Sch,898 Biglerville Rd,Kindergarten,98.15,Adams
2247,112013753,,Lincoln El Sch,98 Lefever Street,Kindergarten,91.04,Adams
2248,112000000,,Lincoln IU 12,65 Billerbeck St,7th Grade,96.0,Adams
2249,112000000,,Lincoln IU 12,65 Billerbeck St,12th Grade,94.34,Adams
2250,112015203,,Littlestown SHS,200 E Myrtle St,12th Grade,99.31,Adams
2251,112015203,,Maple Avenue MS,75 Maple Avenue,7th Grade,98.1,Adams
2252,112011603,,New Oxford El Sch,116 Berlin Avenue,Kindergarten,97.56,Adams
2253,112011603,,New Oxford MS,130 Berlin Road,7th Grade,97.8,Adams
2254,112011603,,New Oxford SHS,130 Berlin Road,12th Grade,98.41,Adams
2255,212017003,,St Teresa of Calcutta - Conewago,55 Basilica Dr,Kindergarten,94.44,Adams
2256,212010503,,St Teresa of Calcutta - McSherrystown,316 North St,7th Grade,96.97,Adams
2257,112018523,,Upper Adams MS,135 North Main Street,7th Grade,97.56,Adams
2258,141019741,,Vida CS,Eisenhower Center,Kindergarten,89.47,Adams
2259,108051003,,Bedford El Sch,3639 Business Route 220,Kindergarten,99.15,Bedford
2260,108051003,,Bedford MS,440 E Watson St,7th Grade,100.0,Bedford
2261,108051003,,Bedford SHS,330 E John St,12th Grade,97.79,Bedford
2262,108051503,,Chestnut Ridge Central El Sch,2534 Quaker Valley Road,Kindergarten,98.9,Bedford
2263,108051503,,Chestnut Ridge MS,3281 Valley Road,7th Grade,96.15,Bedford
2264,108051503,,Chestnut Ridge SHS,2588 Quaker Valley Road,12th Grade,97.25,Bedford
2265,108053003,,Everett Area El Sch,165 E 1st Ave,Kindergarten,92.41,Bedford
2266,108053003,,Everett Area HS,1 Renaissance Circle,12th Grade,95.29,Bedford
2267,108053003,,Everett Area MS,1 Renaissance Circle,7th Grade,97.92,Bedford
2268,108056004,,Northern Bedford Co El Sch,217 NBC Dr,Kindergarten,90.0,Bedford
2269,108056004,,Northern Bedford County HS,152 NBC Dr,12th Grade,98.46,Bedford
2270,108056004,,Northern Bedford County MS,152 NBC Dr,7th Grade,98.51,Bedford
2271,108058003,,Tussey Mountain EL,1110 Mifflin St,Kindergarten,95.71,Bedford
2272,108058003,,Tussey Mountain HS,199 Front Street,12th Grade,100.0,Bedford
2273,108058003,,Tussey Mountain MS,199 Front St,7th Grade,97.92,Bedford
2274,108070502,,Altoona Area HS,1404 6th Ave,12th Grade,98.45,Blair
2275,108070502,,Altoona Area Jr HS,1400 7th Ave,7th Grade,95.13,Blair
2276,108070502,,Baker El Sch,108 W Ward Ave,Kindergarten,95.12,Blair
2277,108071003,,Bellwood Antis MS,400 Martin Street,7th Grade,98.96,Blair
2278,108071003,,Bellwood-Antis HS,400 Martin Street,12th Grade,98.94,Blair
2279,208071005,,Bishop Guilfoyle Catholic High School,2400 Pleasant Valley Blvd,7th Grade,100.0,Blair
2280,208071005,,Bishop Guilfoyle Catholic High School,2400 Pleasant Valley Blvd,12th Grade,97.87,Blair
2281,108077503,,Central HS,718 Central High Road,12th Grade,96.53,Blair
2282,108070001,,Central PA Digital Lrng Foundation CS,5580 Goods Lane,12th Grade,100.0,Blair
2283,108073503,,Charles W Longer El Sch,1320 Union St,Kindergarten,87.72,Blair
2284,108071504,,Claysburg-Kimmel El Sch,240 CK Elementary Drive,Kindergarten,100.0,Blair
2285,108071504,,Claysburg-Kimmel Jr HS,531 Bedford St,7th Grade,100.0,Blair
2286,108071504,,Claysburg-Kimmel Sr HS,531 Bedford St,12th Grade,100.0,Blair
2287,108073503,,Foot of Ten El Sch,450 Foot of Ten Rd,Kindergarten,98.33,Blair
2288,108073503,,Frankstown El Sch,2463 Reservoir Rd,Kindergarten,95.0,Blair
2289,108073503,,Hollidaysburg Area JHS,1000 Hewit St,7th Grade,98.82,Blair
2290,108073503,,Hollidaysburg Area SHS,1510 North Montgomery Street,12th Grade,98.68,Blair
2291,208074005,,Holy Trinity Catholic School - Fairview,5519 Sixth Ave,Kindergarten,100.0,Blair
2292,208078205,,Holy Trinity Catholic School-Eldorado,5519 6th Ave,Kindergarten,100.0,Blair
2293,108070502,,Irving El Sch,110 Cherry Ave,Kindergarten,100.0,Blair
2294,108070502,,Juniata El Sch,418 N 8th Ave Juniata,Kindergarten,100.0,Blair
2295,108070502,,Juniata Gap El Sch,3365 Juniata Gap Road,Kindergarten,100.0,Blair
2296,108071003,,Lewis M Myers El Sch,220 Martin Street,Kindergarten,96.3,Blair
2297,108070502,,Logan El Sch,301 Sycamore Street Greenwood,Kindergarten,98.36,Blair
2298,108070502,,Mowrie A Ebner El Sch,308 Hillside Avenue,Kindergarten,94.55,Blair
2299,300075750,,Penn Mont Academy,131 Holliday Hills Drive,Kindergarten,93.33,Blair
2300,108070502,,Penn-Lincoln El Sch,411 12th St,Kindergarten,94.64,Blair
2301,108070502,,Pleasant Valley El Sch,310 Cayuga Avenue,Kindergarten,97.33,Blair
2302,108077503,,Spring Cove El Sch,137 Spring Cove Dr,Kindergarten,96.64,Blair
2303,108077503,,Spring Cove MS,185 Spring Cove Drive,7th Grade,99.21,Blair
2304,108078003,,Tyrone Area El Sch,601 Clay Avenue,Kindergarten,97.06,Blair
2305,108078003,,Tyrone Area HS,1001 Clay Ave,12th Grade,100.0,Blair
2306,108078003,,Tyrone Area MS,1001 Clay Ave,7th Grade,100.0,Blair
2307,108079004,,Williamsburg Community El Sch,607 Sage Hill Drive,Kindergarten,100.0,Blair
2308,108079004,,Williamsburg Community JSHS,515 W Third St,7th Grade,100.0,Blair
2309,108079004,,Williamsburg Community JSHS,515 W Third St,12th Grade,97.56,Blair
2310,215210009,,Al Huda School,1007 Rana Villa Avenue,Kindergarten,96.77,Cumberland
2311,115211103,,Bellaire El Sch,540 W. North St.,Kindergarten,95.38,Cumberland
2312,115210503,,Big Spring HS,100 Mount Rock Rd,12th Grade,100.0,Cumberland
2313,115210503,,Big Spring MS,43 Mount Rock Rd,7th Grade,98.33,Cumberland
2314,115210503,,Big Spring MS,43 Mount Rock Rd,7th Grade - Home School,50.0,Cumberland
2315,115218303,,Boiling Springs HS,21 Academy Street,12th Grade,97.99,Cumberland
2316,115211003,,Camp Hill MS,2401 Chestnut St,7th Grade,99.08,Cumberland
2317,115211003,,Camp Hill SHS,100 S 24th St,12th Grade,100.0,Cumberland
2318,115211103,,Carlisle Area HS,540 W. North St.,12th Grade,96.46,Cumberland
2319,115211103,,Crestview El Sch,540 W. North St.,Kindergarten,95.95,Cumberland
2320,115211603,,Cumberland Valley HS,6746 Carlisle Pike,12th Grade,95.6,Cumberland
2321,115211603,,Cumberland Valley HS,6746 Carlisle Pike,12th Grade - Home School,98.41,Cumberland
2322,115211603,,Eagle View MS,6746 Carlisle Pike,7th Grade,99.73,Cumberland
2323,115212503,,East Pennsboro Area MS,529 Panther Parkway,7th Grade,98.37,Cumberland
2324,115212503,,East Pennsboro Area SHS,425 W Shady Ln,12th Grade,99.48,Cumberland
2325,115212503,,East Pennsboro El Sch,840 Panther Pkwy,Kindergarten,99.07,Cumberland
2326,315210003,,Goddard School,4800 Woodland Dr,Kindergarten,100.0,Cumberland
2327,115218003,,Grace B Luhrs Univ Elem,Shippensburg University,Kindergarten,100.0,Cumberland
2328,115211603,,Green Ridge El Sch,1 Green Ridge Rd,Kindergarten,100.0,Cumberland
2329,115211103,,Hamilton El Sch,540 W. North St.,Kindergarten,80.36,Cumberland
2330,115211603,,Hampden El Sch,441 Skyport Rd,Kindergarten,98.73,Cumberland
2331,215217903,,Harrisburg Academy,10 Erford Rd,Kindergarten,100.0,Cumberland
2332,215217933,,Heritage Christian Academy,4681 E Trindle Rd,Kindergarten,92.31,Cumberland
2333,115211003,,Hoover El Sch,420 S 24th St,Kindergarten,96.55,Cumberland
2334,115218003,,James Burd El Sch,317 North Morris Street,Kindergarten,97.78,Cumberland
2335,315210045,,Kiddie Academy of Silver Spring Township,188 Woods Dr,Kindergarten,100.0,Cumberland
2336,115216503,,Kindergarten Academy,600 S Norway St,Kindergarten,97.41,Cumberland
2337,115211103,,Lamberton MS,540 W. North St.,7th Grade,98.97,Cumberland
2338,115211103,,Letort El Sch,540 W. North St.,Kindergarten,100.0,Cumberland
2339,115216503,,Mechanicsburg Area SHS,500 S Broad St,12th Grade,98.05,Cumberland
2340,115216503,,Mechanicsburg MS,1750 South Market Street,7th Grade,98.13,Cumberland
2341,115211603,,Middlesex El Sch,250 N Middlesex Rd,Kindergarten,98.08,Cumberland
2342,115211603,,Monroe El Sch,1240 Boiling Springs Rd,Kindergarten,98.68,Cumberland
2343,115211103,,Mooreland El Sch,540 W. North St.,Kindergarten,100.0,Cumberland
2344,115210503,,Mount Rock Elem Sch,47 Mount Rock Rd,Kindergarten,100.0,Cumberland
2345,115211603,,Mountain View MS,30 Bali Hai Rd,7th Grade,98.77,Cumberland
2346,115211103,,Mt Holly Springs El Sch,540 W. North St.,Kindergarten,82.35,Cumberland
2347,115218003,,Nancy Grayson El Sch,317 North Morris Street,Kindergarten,95.35,Cumberland
2348,115210503,,Newville El Sch,100 Steelstown Rd,Kindergarten,98.11,Cumberland
2349,115211103,,North Dickinson El Sch,540 W. North St.,Kindergarten,100.0,Cumberland
2350,115210503,,Oak Flat El Sch,334 Centerville Rd,Kindergarten,95.35,Cumberland
2351,115211603,,Shaull El Sch,1 Shaull Drive,Kindergarten,98.44,Cumberland
2352,115218003,,Shippensburg Area MS,317 North Morris Street,7th Grade,97.9,Cumberland
2353,115218003,,Shippensburg Area SHS,317 North Morris Street,12th Grade,97.5,Cumberland
2354,115211603,,Silver Spring El Sch,6746 Carlisle Pike,Kindergarten,98.36,Cumberland
2355,115211603,,Sporting Hill El Sch,210 S Sporting Hill Rd,Kindergarten,95.4,Cumberland
2356,215217003,,St Joseph School,420 E Simpson St,Kindergarten,97.83,Cumberland
2357,215217003,,St Joseph School,420 E Simpson St,7th Grade,100.0,Cumberland
2358,215217203,,St Patrick School,87 Marsh Dr,Kindergarten,97.73,Cumberland
2359,215217203,,St Patrick School,87 Marsh Dr,7th Grade,96.43,Cumberland
2360,215217403,,St Theresa School,1200 Bridge St,Kindergarten,96.67,Cumberland
2361,215217403,,St Theresa School,1200 Bridge St,7th Grade,100.0,Cumberland
2362,215217953,,Trinity High School,3601 Simpson Ferry Rd,12th Grade,98.55,Cumberland
2363,115218303,,W.G. Rice El Sch,805 Holly Pike,Kindergarten,99.27,Cumberland
2364,115212503,,West Creek Hills El Sch,400 Erford Rd,Kindergarten,97.94,Cumberland
2365,215210882,,West Shore Christian Academy,201 W Main Street,Kindergarten,68.42,Cumberland
2366,215210882,,West Shore Christian Academy,201 W Main Street,7th Grade,90.48,Cumberland
2367,215210882,,West Shore Christian Academy,201 W Main Street,12th Grade,90.62,Cumberland
2368,115211103,,Wilson MS,540 W. North St.,7th Grade,97.04,Cumberland
2369,115211603,,Winding Creek El Sch,34 Bali Hai Rd,Kindergarten,95.71,Cumberland
2370,115218303,,Yellow Breeches MS,30 Academy Street,7th Grade,100.0,Cumberland
2371,115222752,,Benjamin Franklin Sch,1205 N 6th Street,Kindergarten,86.73,Dauphin
2372,215221003,,Bishop McDevitt High School,1 Crusader Way,12th Grade,99.43,Dauphin
2373,115222752,,Camp Curtin Academy,2900 N 6th Street,7th Grade,93.55,Dauphin
2374,115227010,,Capital Area School for the Arts CS,150 Strawberry Square,12th Grade,97.78,Dauphin
2375,115221402,,Central Dauphin East MS,628 Rutherford Rd,7th Grade,98.2,Dauphin
2376,115221402,,Central Dauphin East SHS,626 Rutherford Rd,12th Grade,99.15,Dauphin
2377,115221402,,Central Dauphin MS,4600 Locust Lane,7th Grade,99.01,Dauphin
2378,115221402,,Central Dauphin SHS,437 Piketown Road,12th Grade,97.11,Dauphin
2379,115221402,,Chambers Hill El Sch,6450 Chambers Hill Rd,Kindergarten,97.5,Dauphin
2380,115220002,,Commonwealth Charter Academy CS,One Innovation Way,Kindergarten,73.57,Dauphin
2381,115220002,,Commonwealth Charter Academy CS,One Innovation Way,7th Grade,90.02,Dauphin
2382,115220002,,Commonwealth Charter Academy CS,One Innovation Way,12th Grade,92.77,Dauphin
2383,115224003,,Conewago El Sch,2809 Hershey Rd,Kindergarten,90.91,Dauphin
2384,115222752,,Cougar Academy,1701 North 6th Street,7th Grade,81.4,Dauphin
2385,215221753,,Covenant Christian Academy,1982 Locust Ln,Kindergarten,62.5,Dauphin
2386,215221753,,Covenant Christian Academy,1982 Locust Ln,7th Grade,90.91,Dauphin
2387,115221607,,Dauphin County Technical School,6001 Locust Ln,12th Grade,96.95,Dauphin
2388,115222752,,Downey Sch,1313 Monroe St,Kindergarten,77.36,Dauphin
